53
74 223 86 237
90 237 139 237
193 242 244 242
246 240 261 228
164 236 167 119
86 200 134 198
198 201 237 205
147 229 148 167
148 163 129 134
181 229 184 169
186 165 204 127
138 122 155 118
173 120 194 123
129 81 164 77
169 77 208 83
130 85 150 91
152 91 168 88
170 87 181 93
185 94 211 88
126 76 149 60
152 59 181 59
185 59 205 76
123 132 106 97
213 132 236 92
169 321 220 321
224 321 250 290
255 288 278 229
278 226 279 196
278 195 273 126
272 123 267 87
267 86 242 52
238 49 198 6
196 6 135 6
133 9 93 49
92 52 74 77
74 81 64 122
63 125 55 210
57 216 61 265
61 271 80 301
83 304 109 320
112 321 166 321
87 202 102 206
104 207 118 208
120 208 134 202
85 197 100 192
104 192 116 191
119 191 133 196
198 204 205 211
208 212 226 212
227 212 239 206
199 197 211 197
214 197 231 197
232 198 242 204
