53
89 216 99 228
103 231 131 231
191 251 206 267
210 268 239 251
158 252 183 190
96 198 132 216
197 238 232 244
142 236 141 202
139 194 132 171
181 252 206 220
212 214 232 188
168 168 181 170
195 176 204 181
156 82 206 82
207 84 238 102
156 87 182 115
184 118 196 131
201 131 214 124
217 120 238 109
158 77 189 57
195 57 227 61
228 62 241 97
130 151 123 103
236 174 257 145
148 295 207 307
208 305 251 264
255 256 267 230
269 221 275 203
277 196 289 149
288 141 284 97
282 91 270 67
265 67 240 40
236 36 182 30
179 32 131 52
129 58 86 87
83 89 79 114
79 120 68 171
67 177 65 201
65 206 70 236
71 242 93 276
97 277 146 294
96 204 101 216
103 221 117 224
118 224 128 219
96 196 107 195
110 195 121 198
123 201 128 210
196 242 203 256
206 257 219 257
221 255 231 246
200 235 212 230
215 231 225 232
227 235 234 245
