53
70 205 79 217
85 217 128 213
192 216 245 225
248 225 263 216
164 213 169 107
86 186 131 181
201 177 253 188
144 210 149 146
148 141 128 116
185 210 191 154
191 147 208 109
132 105 151 102
175 102 196 105
127 71 161 64
166 64 206 70
125 78 147 78
149 78 164 71
166 71 181 77
183 77 210 77
123 68 142 50
146 49 186 49
188 49 213 69
124 113 91 90
215 115 237 87
171 307 217 311
219 311 237 289
242 284 274 222
276 219 287 184
287 181 282 113
280 111 270 83
268 82 240 46
239 43 200 11
198 11 140 12
138 15 107 42
105 45 88 64
86 67 69 97
67 100 53 194
53 198 62 242
64 248 90 282
91 284 117 300
120 303 167 306
85 190 101 196
103 197 119 195
121 193 132 184
82 184 94 175
96 174 110 170
113 172 130 176
201 181 209 193
211 195 229 197
232 197 247 191
203 175 217 172
219 172 234 175
236 176 253 184
