53
72 217 84 228
87 227 130 220
197 220 243 231
245 230 256 216
163 216 165 125
86 191 131 187
196 189 240 193
142 214 147 160
143 156 128 130
186 213 185 161
185 155 199 125
134 125 150 122
172 119 185 122
129 90 165 79
167 79 197 85
131 93 153 95
154 95 162 92
164 92 173 95
174 95 200 89
126 86 141 68
143 68 185 65
189 67 205 83
125 125 99 97
205 125 222 93
170 313 218 317
221 318 255 301
258 300 268 224
269 223 271 190
271 189 267 117
266 113 251 82
249 81 227 53
224 53 192 22
190 22 135 24
132 27 103 59
103 62 86 82
86 85 72 114
70 118 62 213
62 216 64 257
65 262 77 301
80 304 98 314
100 316 165 312
82 195 96 199
100 200 113 199
117 199 134 190
83 190 96 185
99 184 114 183
115 183 128 184
197 191 208 197
210 199 231 199
234 199 245 194
196 186 207 184
209 183 230 183
231 185 245 190
