53
83 223 100 238
103 238 148 228
193 233 237 242
239 242 257 231
170 229 178 117
97 204 150 201
192 206 245 208
155 225 158 164
158 162 140 134
186 227 188 168
191 164 209 134
149 128 165 119
192 118 204 129
139 81 175 76
178 76 215 83
141 85 161 89
162 90 175 85
181 85 191 89
192 89 209 86
139 78 149 61
152 61 193 61
198 62 215 78
139 131 111 100
212 131 236 90
169 339 218 340
223 341 255 297
256 295 260 255
261 254 268 207
269 205 266 123
266 120 254 76
254 75 242 48
240 47 204 5
201 5 147 5
146 7 106 45
104 48 88 78
88 81 72 131
71 135 65 209
66 211 73 258
73 261 79 304
79 307 107 333
109 335 167 339
98 211 109 218
112 219 136 217
140 215 150 205
97 200 110 191
115 190 131 191
133 190 146 194
196 211 209 221
212 222 238 221
242 219 249 210
194 201 212 193
215 195 231 196
234 196 250 204
