53
70 236 85 247
88 247 144 241
196 241 253 243
255 243 276 235
170 238 169 120
81 203 134 199
205 195 256 201
151 234 147 165
147 162 136 127
191 232 191 165
191 160 203 123
145 114 158 115
177 115 193 115
128 81 166 75
170 75 209 81
129 85 156 88
158 88 167 83
169 84 178 88
180 88 200 83
131 78 151 60
155 60 177 60
181 60 205 76
133 121 108 88
209 118 230 83
184 354 230 352
232 350 249 322
253 316 280 243
281 241 287 195
287 192 279 118
278 117 268 83
268 81 237 44
235 44 201 15
199 14 146 13
143 16 104 49
102 51 84 71
82 74 63 108
63 111 56 224
55 225 64 268
66 274 89 316
93 323 118 349
121 351 180 354
78 207 96 213
99 214 117 214
120 214 132 204
79 198 96 192
99 192 111 191
113 191 133 195
203 197 217 208
219 210 240 212
245 212 262 203
205 191 224 190
228 190 244 192
248 192 261 199
