53
77 235 86 243
93 243 129 240
196 241 214 245
220 245 248 240
164 233 166 133
87 207 132 205
195 204 239 212
149 227 147 166
146 162 135 134
181 230 186 167
186 164 196 135
145 126 159 123
173 123 190 125
123 84 163 77
171 80 211 85
119 88 152 99
154 99 165 91
170 90 177 98
179 98 215 90
122 81 142 60
146 58 185 58
190 59 213 82
133 129 110 100
202 128 225 97
163 333 201 334
206 331 221 307
222 304 258 245
260 241 269 209
269 206 271 137
272 131 260 96
260 93 243 57
242 55 204 17
202 17 139 16
137 19 101 55
100 57 91 75
91 78 79 102
78 104 60 205
59 212 75 259
76 264 93 303
95 307 114 326
116 331 156 331
87 211 99 218
101 219 119 217
123 214 130 209
85 202 100 195
103 195 116 196
120 197 130 200
194 208 205 217
209 218 222 219
228 219 243 216
198 200 209 200
212 200 229 199
234 200 244 208
