53
79 233 94 244
97 244 155 229
199 234 243 248
247 248 260 237
172 231 179 125
96 202 142 196
203 198 249 208
155 221 154 163
153 160 137 129
190 224 197 167
198 163 214 134
149 124 170 120
185 119 207 125
139 78 175 71
177 71 215 78
143 83 157 89
161 89 180 83
182 83 195 89
197 89 217 83
141 73 156 52
159 53 196 53
199 54 215 73
135 128 119 93
220 128 246 97
167 335 217 336
219 336 254 306
256 303 278 248
277 245 279 202
280 198 274 131
275 129 267 86
266 84 245 52
244 50 211 10
209 6 149 9
146 11 114 50
110 52 88 83
86 85 77 125
75 126 62 209
61 213 66 256
66 260 75 300
77 302 95 328
101 329 160 333
97 206 111 209
114 210 129 209
133 207 141 200
93 200 102 195
105 194 122 191
125 190 142 192
205 202 215 208
217 211 235 212
239 213 253 211
207 196 217 194
220 194 233 195
236 196 251 205
