53
56 294 79 308
81 304 92 290
183 304 202 316
204 314 215 297
136 299 146 124
65 296 79 276
204 282 216 297
112 262 81 181
78 172 68 136
176 263 183 185
184 178 191 133
107 137 122 115
176 113 191 128
60 59 138 64
145 64 213 60
62 62 82 70
87 72 130 72
143 74 187 73
193 72 204 68
61 58 113 60
116 60 164 60
166 60 209 59
58 123 41 93
208 126 235 97
137 361 176 359
181 357 212 334
216 327 237 288
236 281 239 237
237 230 227 190
226 183 244 140
244 134 254 105
247 103 217 60
213 58 61 58
57 59 27 95
27 100 22 130
24 139 36 189
38 196 41 237
41 242 42 279
41 284 41 315
45 323 74 352
83 355 132 361
62 292 73 298
74 299 79 298
80 297 88 291
60 285 65 278
68 277 78 275
82 278 88 286
189 303 202 309
203 308 209 307
210 305 216 296
186 294 192 287
195 284 202 283
206 283 214 291
