53
85 216 97 225
99 225 152 218
200 224 241 233
246 231 266 221
175 220 186 135
100 202 145 200
207 204 253 205
162 215 167 170
167 169 151 144
193 222 198 174
200 171 215 140
158 134 175 130
198 132 209 136
144 96 182 94
185 94 216 99
144 100 174 105
176 106 184 102
187 103 195 106
198 106 220 104
141 92 159 82
162 80 201 82
203 84 217 96
140 142 120 105
222 144 249 108
176 337 233 336
236 336 268 299
269 295 276 242
275 239 277 197
276 194 275 131
274 129 270 98
269 96 260 68
260 65 209 16
207 16 151 16
148 18 102 55
101 57 81 90
80 93 68 142
68 144 64 211
62 216 68 259
69 262 77 305
78 307 97 331
101 333 169 336
95 204 112 213
116 213 132 212
134 212 151 203
97 198 110 192
113 191 133 189
138 190 152 197
206 206 214 216
216 216 244 216
247 214 259 203
205 200 220 196
224 196 241 196
245 196 258 199
