53
80 236 92 244
96 244 141 239
191 243 236 246
238 246 255 236
166 241 170 131
92 211 138 206
200 207 237 215
149 231 148 166
147 163 135 139
185 233 187 168
187 163 204 139
145 129 163 127
176 128 193 131
134 90 168 87
171 87 208 92
139 93 159 102
161 103 169 99
171 99 182 105
183 103 196 96
139 87 154 69
158 67 186 67
187 68 205 86
133 133 113 102
210 136 232 99
170 332 212 332
217 333 248 309
249 306 266 248
266 244 270 210
271 207 271 134
271 132 262 93
261 92 244 61
242 57 200 17
198 17 130 17
128 18 92 57
90 60 70 91
70 96 62 135
60 140 60 219
62 224 66 259
67 262 74 298
74 301 101 331
102 331 166 331
94 214 106 218
108 218 127 215
130 214 138 209
90 206 102 203
105 202 117 202
119 202 137 203
199 212 212 218
216 220 231 221
233 220 244 216
198 206 208 204
212 204 226 205
227 205 248 211
