53
66 239 86 249
90 249 143 243
190 241 257 245
258 243 272 224
164 240 164 133
82 218 142 210
191 211 248 213
149 232 142 171
139 170 127 145
181 234 184 170
185 166 199 140
137 133 156 128
175 131 190 135
122 91 159 88
165 88 206 90
127 93 145 98
148 100 161 98
164 98 178 100
180 99 196 94
125 86 139 75
143 74 174 74
176 75 199 86
126 142 95 109
201 140 235 100
165 358 218 355
224 354 270 316
272 313 286 260
285 258 288 207
288 205 287 133
286 131 280 87
279 83 260 57
259 57 201 10
198 9 120 11
118 13 75 54
71 55 50 89
48 95 45 142
44 148 47 215
47 219 49 267
50 271 68 313
69 315 106 358
108 360 162 359
81 224 95 231
101 230 120 231
121 231 137 216
79 213 93 204
97 203 113 201
116 201 134 204
193 219 208 229
212 229 241 227
242 226 256 215
194 207 212 200
215 202 240 202
243 203 255 211
